2, 7711, Note_on_c, 3, 61, 95
2, 7712, Note_on_c, 3, 63, 0
2, 7739, Note_on_c, 3, 61, 0
2, 7741, Lyric_t, "back "
2, 7741, Note_on_c, 3, 63, 105
2, 7788, Note_on_c, 3, 63, 0
2, 7799, Lyric_t, "whis"
2, 7799, Note_on_c, 3, 63, 105
2, 7846, Note_on_c, 3, 63, 0
2, 7859, Lyric_t, "key "
2, 7859, Note_on_c, 3, 61, 105
2, 7887, Note_on_c, 3, 61, 0
2, 7891, Lyric_t, "straight, "
2, 7891, Note_on_c, 3, 63, 105
2, 7957, Note_on_c, 3, 63, 0
2, 7979, Lyric_t, "n"
2, 7979, Note_on_c, 3, 63, 105
2, 8007, Note_on_c, 3, 63, 0
2, 8009, Lyric_t, "o "
2, 8009, Note_on_c, 3, 61, 97
2, 8037, Note_on_c, 3, 61, 0
2, 8039, Lyric_t, "wa"
2, 8039, Note_on_c, 3, 63, 105
2, 8067, Note_on_c, 3, 63, 0
2, 8069, Lyric_t, "ter "
2, 8069, Lyric_t, "\015"
2, 8069, Note_on_c, 3, 61, 100
2, 8097, Note_on_c, 3, 61, 0
2, 8159, Lyric_t, "Girl "
2, 8159, Note_on_c, 3, 64, 114
2, 8187, Note_on_c, 3, 64, 0
2, 8189, Lyric_t, "there "
2, 8189, Note_on_c, 3, 61, 101
2, 8217, Note_on_c, 3, 61, 0
2, 8220, Lyric_t, "a"
2, 8220, Note_on_c, 3, 64, 111
2, 8248, Note_on_c, 3, 64, 0
2, 8251, Lyric_t, "in't "
2, 8251, Note_on_c, 3, 61, 102
2, 8279, Note_on_c, 3, 61, 0
2, 8281, Lyric_t, "no"
2, 8281, Note_on_c, 3, 64, 112
2, 8309, Note_on_c, 3, 64, 0
2, 8310, Lyric_t, "thing "
2, 8310, Note_on_c, 3, 64, 104
2, 8338, Note_on_c, 3, 64, 0
2, 8340, Lyric_t, "hot"
2, 8340, Note_on_c, 3, 61, 101
2, 8368, Note_on_c, 3, 61, 0
2, 8371, Lyric_t, "ter "
2, 8371, Lyric_t, "\015"
2, 8371, Lyric_t, "\012"
2, 8371, Note_on_c, 3, 56, 105
2, 8394, Note_on_c, 3, 56, 0
2, 8640, Lyric_t, "Ooh, "
2, 8640, Note_on_c, 3, 73, 117
2, 8755, Note_on_c, 3, 73, 0
2, 8791, Lyric_t, "I "
2, 8791, Note_on_c, 3, 68, 111
2, 8819, Note_on_c, 3, 68, 0
2, 8821, Lyric_t, "dig "
2, 8821, Note_on_c, 3, 70, 117
2, 8849, Note_on_c, 3, 70, 0
2, 8850, Lyric_t, "the "
2, 8850, Note_on_c, 3, 68, 114
2, 8878, Note_on_c, 3, 68, 0
2, 8881, Lyric_t, "way "
2, 8881, Note_on_c, 3, 73, 122
2, 8932, Note_on_c, 3, 73, 0
2, 8939, Lyric_t, "that "
2, 8939, Note_on_c, 3, 75, 114
2, 8993, Note_on_c, 3, 75, 0
2, 9000, Lyric_t, "you "
2, 9000, Note_on_c, 3, 77, 117
2, 9054, Note_on_c, 3, 77, 0
2, 9059, Lyric_t, "mo"
2, 9059, Note_on_c, 3, 75, 115
2, 9141, Note_on_c, 3, 75, 0
2, 9151, Lyric_t, "ve "
2, 9151, Lyric_t, "\015"
2, 9151, Note_on_c, 3, 77, 117
2, 9211, Note_on_c, 3, 77, 0
2, 9271, Lyric_t, "You "
2, 9271, Note_on_c, 3, 68, 113
2, 9299, Note_on_c, 3, 68, 0
2, 9301, Lyric_t, "shake "
2, 9301, Note_on_c, 3, 70, 119
2, 9329, Note_on_c, 3, 70, 0
2, 9331, Lyric_t, "it "
2, 9331, Note_on_c, 3, 68, 119
2, 9359, Note_on_c, 3, 68, 0
2, 9361, Lyric_t, "down "
2, 9361, Note_on_c, 3, 73, 120
2, 9420, Note_on_c, 3, 73, 0
2, 9420, Lyric_t, "to "
2, 9420, Note_on_c, 3, 75, 117
2, 9448, Note_on_c, 3, 75, 0
2, 9451, Lyric_t, "your "
2, 9451, Note_on_c, 3, 77, 118
2, 9530, Note_on_c, 3, 77, 0
2, 9539, Lyric_t, "ro"
2, 9539, Note_on_c, 3, 75, 119
2, 9567, Note_on_c, 3, 75, 0
2, 9569, Note_on_c, 3, 73, 120
2, 9597, Note_on_c, 3, 73, 0
2, 9600, Lyric_t, "ots "
2, 9600, Lyric_t, "\015"
2, 9600, Note_on_c, 3, 70, 114
2, 9702, Note_on_c, 3, 70, 0
2, 9751, Lyric_t, "Di"
2, 9751, Note_on_c, 3, 68, 117
2, 9779, Note_on_c, 3, 68, 0
2, 9780, Lyric_t, "d "
2, 9780, Note_on_c, 3, 70, 117
2, 9808, Note_on_c, 3, 70, 0
2, 9811, Lyric_t, "your "
2, 9811, Note_on_c, 3, 68, 115
2, 9839, Note_on_c, 3, 68, 0
2, 9840, Lyric_t, "mom"
2, 9840, Note_on_c, 3, 73, 127
2, 9892, Note_on_c, 3, 73, 0
2, 9899, Lyric_t, "ma "
2, 9899, Note_on_c, 3, 73, 115
2, 9927, Note_on_c, 3, 73, 0
2, 9931, Lyric_t, "teach "
2, 9931, Note_on_c, 3, 70, 120
2, 9988, Note_on_c, 3, 70, 0
2, 9989, Lyric_t, "you "
2, 9989, Note_on_c, 3, 68, 113
2, 10017, Note_on_c, 3, 68, 0
2, 10021, Lyric_t, "how "
2, 10021, Note_on_c, 3, 70, 115
2, 10049, Note_on_c, 3, 70, 0
2, 10051, Lyric_t, "to "
2, 10051, Note_on_c, 3, 68, 115
2, 10079, Note_on_c, 3, 68, 0
2, 10079, Lyric_t, "do "
2, 10079, Note_on_c, 3, 73, 119
2, 10135, Note_on_c, 3, 73, 0
2, 10139, Lyric_t, "that "
2, 10139, Note_on_c, 3, 70, 119
2, 10196, Note_on_c, 3, 70, 0
2, 10200, Lyric_t, "thing "
2, 10200, Note_on_c, 3, 73, 120
2, 10255, Note_on_c, 3, 73, 0
2, 10259, Lyric_t, "you "
2, 10259, Note_on_c, 3, 73, 115
2, 10287, Note_on_c, 3, 73, 0
2, 10291, Lyric_t, "do "
2, 10291, Lyric_t, "\015"
2, 10291, Note_on_c, 3, 70, 113
2, 10319, Note_on_c, 3, 70, 0
2, 10560, Lyric_t, "Yeah, "
2, 10560, Note_on_c, 3, 73, 117
2, 10675, Note_on_c, 3, 73, 0
2, 10741, Lyric_t, "noth"
2, 10741, Note_on_c, 3, 70, 117
2, 10769, Note_on_c, 3, 70, 0
2, 10770, Lyric_t, "ing "
2, 10770, Note_on_c, 3, 68, 114
2, 10798, Note_on_c, 3, 68, 0
2, 10801, Lyric_t, "sweet"
2, 10801, Note_on_c, 3, 73, 122
2, 10852, Note_on_c, 3, 73, 0
2, 10859, Lyric_t, "er "
2, 10859, Note_on_c, 3, 75, 114
2, 10913, Note_on_c, 3, 75, 0
2, 10920, Lyric_t, "than "
2, 10920, Note_on_c, 3, 77, 117
2, 10974, Note_on_c, 3, 77, 0
2, 10979, Lyric_t, "wi"
2, 10979, Note_on_c, 3, 75, 115
2, 11007, Note_on_c, 3, 75, 0
2, 11011, Note_on_c, 3, 73, 115
2, 11039, Note_on_c, 3, 73, 0
2, 11041, Lyric_t, "ld "
2, 11041, Lyric_t, "\015"
2, 11041, Note_on_c, 3, 70, 117
2, 11101, Note_on_c, 3, 70, 0
2, 11191, Lyric_t, "I'll "
2, 11191, Note_on_c, 3, 68, 113
2, 11219, Note_on_c, 3, 68, 0
2, 11221, Lyric_t, "take "
2, 11221, Note_on_c, 3, 70, 119
2, 11249, Note_on_c, 3, 70, 0
2, 11251, Lyric_t, "a "
2, 11251, Note_on_c, 3, 68, 119
2, 11279, Note_on_c, 3, 68, 0
2, 11281, Lyric_t, "sip "
2, 11281, Note_on_c, 3, 73, 120
2, 11340, Note_on_c, 3, 73, 0
